gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,winner
937,4131.9,3585.9,556.42,499.28,4,4,50,50,8,6,-1
938,3719.5,3619.2,563.89,559.43,3,3,50,50,10,10,-1
939,4207.7,4591.4,601.31,595.74,4,4,50,50,10,4,-1
940,3590.7,3737.1,545.35,542.59,3,3,50,50,8,8,-1
941,4323.0,4408.1,636.22,596.5,4,4,50,50,10,6,-1
942,4893.0,5263.1,686.84,656.03,4,4,50,50,4,1,-1
943,3923.2,3839.9,572.53,619.84,3,3,50,50,10,10,-1
944,5070.4,4116.7,609.84,551.5,4,4,50,50,4,9,-1
945,4260.9,4269.3,565.65,547.29,3,3,50,50,7,6,-1
946,4260.2,3874.7,681.78,526.77,4,4,50,50,10,7,-1
947,4778.5,4150.6,574.11,576.96,4,4,50,50,3,9,-1
948,3801.3,3924.2,493.53,531.34,3,3,50,50,3,6,-1
949,3988.6,3971.7,642.72,514.01,3,3,50,50,10,6,-1
950,3900.9,4675.4,545.0,541.12,3,3,50,50,8,2,-1
951,3536.9,3701.1,490.98,483.75,3,3,50,50,4,4,-1
952,4961.3,5130.3,625.23,598.87,4,4,50,50,5,5,-1
953,3653.6,3656.1,517.01,500.98,3,3,50,50,6,5,-1
954,3731.7,4332.9,487.11,491.5,3,3,50,50,3,3,-1
955,3234.6,3817.8,462.44,473.54,3,3,50,50,10,2,-1
956,4527.1,3807.4,492.5,553.38,3,3,50,50,4,9,-1
957,3796.2,3693.0,505.56,471.11,3,3,50,50,5,2,-1
958,5099.8,4598.7,583.67,534.01,4,4,50,50,3,4,-1
959,3517.0,4032.4,496.93,498.03,3,3,50,50,5,5,-1
960,3475.4,3569.1,461.39,453.39,3,3,50,50,3,3,-1
961,4180.0,4081.0,480.79,550.46,3,4,50,50,4,9,-1
962,4555.5,3801.0,512.2,481.82,4,3,50,50,3,6,-1
963,4840.3,3736.8,561.56,509.02,4,3,50,50,3,8,-1
964,4194.4,3442.2,537.9,463.61,3,3,50,50,6,5,-1
965,3790.9,3071.0,487.99,406.31,3,3,50,50,7,7,-1
966,5263.3,4900.2,608.99,621.78,4,4,50,50,3,6,-1
967,5073.2,4227.0,703.05,582.07,4,4,50,50,8,8,-1
968,4651.3,5372.5,538.1,550.51,3,3,50,50,4,2,-1
969,4634.2,5110.0,610.49,586.37,4,4,50,50,8,3,-1
970,5327.2,4851.6,593.06,605.7,4,4,50,50,2,4,-1
971,4458.4,4999.8,597.63,640.8,4,4,50,50,8,4,-1
972,5220.5,5573.2,730.5,643.46,4,4,50,50,4,2,-1
973,4061.1,5282.1,568.62,615.21,3,4,50,50,9,2,-1
974,5135.6,4542.5,665.13,580.39,3,3,50,50,4,4,-1
975,4647.8,4487.4,601.52,612.27,4,4,50,50,7,10,-1
976,4050.5,4649.7,557.24,614.11,3,4,50,50,10,6,-1
977,4316.3,4810.3,628.07,557.48,4,4,50,50,10,3,-1
978,4608.2,3997.0,634.84,591.46,4,4,50,50,9,10,-1
979,4491.5,4671.8,668.48,623.43,4,4,50,50,10,5,-1
980,4714.2,4594.0,594.08,587.14,4,4,50,50,4,7,-1
981,4927.8,4549.0,617.08,593.82,4,4,50,50,4,8,-1
982,5153.2,5063.8,790.79,713.87,4,4,50,50,10,6,-1
983,4559.9,5034.6,730.47,656.28,4,4,50,50,10,6,-1
984,5540.0,5618.4,734.48,737.08,4,4,50,50,4,4,-1
985,5229.6,5167.1,723.59,689.2,4,4,50,50,8,7,-1
986,5061.1,4589.1,768.32,657.65,4,4,50,50,9,9,-1
987,5087.7,4517.9,631.77,601.69,4,4,50,50,5,5,-1
988,5043.2,4702.2,748.1,705.93,4,4,50,50,8,10,-1
989,4664.0,4508.6,618.39,608.66,4,4,50,50,5,8,-1
990,5144.8,4659.6,560.71,607.21,4,4,50,50,1,6,-1
991,4500.2,4721.6,636.49,666.67,4,4,50,50,8,6,-1
992,4793.2,4407.3,611.06,626.46,4,4,50,50,3,10,-1
993,4371.4,4075.5,633.86,601.06,4,4,50,50,10,10,-1
994,5237.2,4798.4,716.37,632.63,4,4,50,50,5,3,-1
995,4163.7,3697.9,520.19,537.66,3,3,50,50,6,8,-1
996,3608.6,4624.3,489.76,579.0,4,4,50,50,3,5,-1
997,4669.1,3742.1,614.75,567.15,4,4,50,50,3,10,-1
998,4663.0,4318.3,570.23,613.25,4,4,50,50,5,8,-1
999,3966.8,4685.9,518.47,637.49,4,4,50,50,5,7,-1
1000,3638.6,3719.6,518.75,519.57,3,3,50,50,6,6,-1
1001,3810.1,3924.4,568.13,593.35,3,3,50,50,10,10,-1
1002,4038.4,4476.4,593.86,572.03,4,4,50,50,10,3,-1
1003,3868.6,3748.8,576.74,532.17,3,3,50,50,10,7,-1
1004,3844.5,3988.5,594.02,603.51,3,3,50,50,10,10,-1
1005,3955.7,4092.8,517.57,530.17,3,3,50,50,6,7,-1
1006,4065.0,3512.3,593.75,534.02,3,3,50,50,10,8,-1
1007,4661.1,3754.4,626.35,554.7,4,4,50,50,4,9,-1
1008,4452.1,3735.7,594.54,571.27,4,3,50,50,4,10,-1
1009,4417.8,3961.0,559.53,560.18,3,3,50,50,3,9,-1
1010,4361.3,4566.7,628.49,615.0,4,4,50,50,10,7,-1
1011,4647.6,3813.0,605.14,561.24,4,4,50,50,5,8,-1
1012,3637.3,3891.7,545.57,554.06,3,4,50,50,7,8,-1
1013,3805.5,3795.7,551.23,550.4,3,3,50,50,7,7,-1
1014,4181.4,4264.0,585.88,552.1,4,4,50,50,10,7,-1
1015,3641.6,3528.8,567.43,503.12,3,3,50,50,9,5,-1
1016,4344.8,3661.3,624.69,522.38,4,3,50,50,10,5,-1
1017,4479.8,4332.2,586.72,619.28,4,4,50,50,6,9,-1
1018,4256.0,3781.3,582.57,502.73,3,3,50,50,10,3,-1
1019,3775.3,4218.4,585.08,557.97,4,4,50,50,10,8,-1
1020,3773.6,4044.0,525.96,580.54,3,3,50,50,6,10,-1
1021,3774.3,4082.1,508.98,558.84,3,3,50,50,4,8,-1
1022,3788.5,3705.3,545.79,556.7,3,3,50,50,8,8,-1
1023,4427.0,3951.5,546.28,502.8,3,3,50,50,5,4,-1
1024,3526.9,3679.2,526.95,505.53,3,3,50,50,7,4,-1
1025,4407.4,4288.2,618.47,616.77,4,4,50,50,6,10,-1
1026,3644.3,3866.1,538.32,532.69,3,3,50,50,7,7,-1
1027,3524.8,3737.0,548.66,572.79,3,3,50,50,8,10,-1
1028,3301.1,3604.9,485.02,515.4,3,3,50,50,10,5,-1
1029,3494.3,3470.2,486.05,545.63,3,3,50,50,3,8,-1
1030,3518.9,3508.3,503.17,522.49,3,3,50,50,5,7,-1
1031,3650.8,3606.2,517.73,538.85,3,3,50,50,5,8,-1
